Date,Volume (Billion),Low (EUR),High (EUR)
2018-11-18,4.15968,4836.9740035800005,4918.640580810001
2018-11-19,7.03956,4213.33183572,4890.07841295
2018-11-20,8.42829,3716.7355808100006,4307.90058081
2018-11-21,6.12012,3779.2625826,4067.8850826000003
2018-11-22,4.56937,3798.1069191899996,4027.7869191899995
2018-11-23,4.87149,3650.24175312,3824.88533214
2018-11-24,4.6795,3301.7891234399995,3839.38816428
2018-11-25,6.82564,3119.0022513300005,3585.1570017900003
2018-11-26,6.4769,3170.21033214,3573.2119191899997
2018-11-27,5.99872,3185.0787087,3360.77516607
2018-11-28,7.28028,3325.54887477,3815.73291474
2018-11-29,6.503347767,3606.8156691899994,3839.3278419599997
2018-11-30,6.048016716,3430.25515827,3760.9896098100003
2018-12-01,5.375314093,3453.64830291,3749.1583736699995
2018-12-02,5.262697895,3576.5513089199994,3742.32199197
2018-12-03,5.089570993,3341.18827143,3615.7021580400005
2018-12-04,5.028069239,3334.4925,3545.79608682
2018-12-05,5.302481573,3265.9755395099996,3453.49622343
2018-12-06,5.878333109,3063.35857209,3371.22047568
2018-12-07,6.835615448,2853.7990212,3055.95358884
2018-12-08,5.305024497,2915.06605245,3050.25780759
2018-12-09,4.947372847,3018.11198706,3206.21592768
2018-12-10,5.02096874,3019.02574197,3173.1792924
2018-12-11,4.696765187,2951.2575,3056.4710013300005
2018-12-12,4.139364828,2969.7288571500003,3074.77880892
2018-12-13,4.343372456,2869.3749095999997,3036.0733667400004
2018-12-14,4.372763663,2789.69174532,2896.71363996
2018-12-15,3.551763561,2776.4340162900003,2849.5787991
2018-12-16,3.744248994,2813.4232468799996,2876.00526138
2018-12-17,5.409247918,2830.21705089,3130.1886330299994
2018-12-18,5.911325472,3033.83719443,3220.17394755
2018-12-19,6.810689118,3207.8900825999995,3435.9110082599996
2018-12-20,8.927129279,3244.20790983,3646.368808919999
2018-12-21,7.206015706,3350.3232714299997,3652.63382856
2018-12-22,5.605823232,3354.4929421800002,3492.3388767900005
2018-12-23,6.151275489,3459.47301294,3554.5795607099994
2018-12-24,7.240968501,3480.2886546899995,3716.4594576
2018-12-25,6.158207293,3271.2178419599995,3557.91852501
2018-12-26,5.326547918,3279.7814799000002,3387.2228685299997
2018-12-27,5.130222366,3171.5401828199997,3370.74278304
2018-12-28,5.631554348,3169.0899096,3441.83830782
2018-12-29,4.991655917,3323.7555611699995,3448.47014643
2018-12-30,4.770578574,3303.58073706,3394.6607743199997
2018-12-31,4.661840806,3241.50466584,3365.8063404
2019-01-01,4.32420099,3225.2911448699997,3350.29502166
2019-01-02,5.244856835,3321.14619888,3434.7436448699996
2019-01-03,4.530215218,3328.813923,3424.0460013300003
2019-01-04,4.847965467,3291.9527712,3363.3630759000002
2019-01-05,5.137609823,3338.10312702,3397.2656761199996
2019-01-06,5.597027439,3329.0664700800003,3561.16870581
2019-01-07,5.228625637,3498.17781741,3560.5737667500002
2019-01-08,5.306593305,3477.35113014,3574.84826652
2019-01-09,5.115905224,3499.71667254,3539.5111006800003
2019-01-10,6.874143795,3183.48186807,3535.7379855000004
2019-01-11,5.538712864,3178.17074688,3231.07719732
2019-01-12,4.778170882,3178.8153881699996,3218.11109577
2019-01-13,4.681302465,3084.08670402,3197.0412087
2019-01-14,5.651384489,3090.4880857200005,3243.21747834
2019-01-15,5.537192301,3149.3558205299996,3236.5333884
2019-01-16,5.394457144,3153.4658058,3206.626077
2019-01-17,5.464420383,3151.10601606,3201.7183078199996
2019-01-18,5.002961726,3164.2603055699997,3203.7924174000004
2019-01-19,5.955691379,3177.5687990999995,3269.9240988899996
2019-01-20,5.582489559,3117.22699197,3256.7475069300003
2019-01-21,5.004347059,3095.92728483,3139.6915134
2019-01-22,5.313623556,3079.5576493199997,3150.0495263400003
2019-01-23,5.433755648,3101.82314955,3152.06904777
2019-01-24,5.262869046,3105.1107125099998,3145.99603974
2019-01-25,5.265847538,3110.7697484399996,3143.24712858
2019-01-26,5.098183234,3126.21097389,3179.79180135
2019-01-27,5.570752966,3103.5038895,3143.02410669
2019-01-28,6.908930483,2992.1326317000003,3120.4733499900003
2019-01-29,5.897159492,2958.71324688,3024.1769240999997
2019-01-30,5.955112626,2983.56750693,3040.80208035
2019-01-31,5.83119827,2999.6867207699997,3049.18029084
2019-02-01,5.422926707,2985.48465111,3046.70006874
2019-02-02,5.0716236,3016.78999509,3065.25999798
2019-02-03,5.043937583,2999.6941549199996,3063.6077200800005
2019-02-04,5.332718886,2995.05061518,3024.31477299
2019-02-05,5.227549544,3003.18520044,3025.98892791
2019-02-06,5.482196037,2956.7519240999995,3018.10986339
2019-02-07,5.004962682,2952.97010022,2982.31263459
2019-02-08,7.735623101,2950.19060334,3215.18419218
2019-02-09,6.158833644,3172.50661362,3201.5490232200004
2019-02-10,6.282256902,3167.6525825999997,3214.6814357099997
2019-02-11,6.277056433,3168.7904225400002,3215.1833421899996
2019-02-12,6.480384531,3148.1444899499998,3191.67061518
2019-02-13,6.438903822,3147.0043140600005,3192.6795263400004
2019-02-14,6.271044417,3138.69704598,3172.24323504
2019-02-15,6.09195223,3139.13969241,3173.5817944199994
2019-02-16,5.934744051,3145.28512968,3177.9719388300005
2019-02-17,7.039512502,3148.6884522299997,3202.06749798
2019-02-18,9.90821664,3192.88470714,3424.89858393
2019-02-19,9.933626654,3400.0931761199995,3489.4650736500002
2019-02-20,8.693373948,3415.83473862,3480.42310536
2019-02-21,7.775128102,3427.89409398,3488.70828327
2019-02-22,7.826525254,3437.21027322,3485.6883470999996
2019-02-23,8.922258315,3452.79232209,3624.6689357099995
2019-02-24,10.794227451,3300.52681608,3663.2581937400005
2019-02-25,9.318796066,3312.0921236699996,3404.9253292500002
2019-02-26,7.931218996,3339.04810536,3385.67360559
2019-02-27,8.301309684,3294.74118906,3383.2581663
2019-02-28,8.399767798,3345.86452143,3398.2707644999996
2019-03-01,7.661247975,3350.9723732099997,3399.7820067000002
2019-03-02,7.578786075,3333.9512990999997,3370.90845714
2019-03-03,7.253558152,3338.1080129399998,3371.67076941
2019-03-04,9.029175787,3248.36228772,3364.62219732
2019-03-05,10.174126414,3258.3093013499997,3396.4075707599995
2019-03-06,9.175291528,3368.17080291,3409.9741332599997
2019-03-07,9.584165518,3387.87834219,3427.2547631699995
2019-03-08,10.638638944,3371.44880892,3436.8759522299997
2019-03-09,10.796103518,3386.3796314700003,3468.89687991
2019-03-10,9.713267606,3414.21156048,3450.5716549199997
2019-03-11,10.125901902,3383.63794218,3450.7547464199997
2019-03-12,9.809887079,3361.29640134,3416.3935692
2019-03-13,9.469184841,3385.95673839,3416.13996072
2019-03-14,10.480789569,3394.12828125,3433.4588236500003
2019-03-15,9.394210604,3405.19338147,3452.63238303
2019-03-16,9.856166973,3446.64199977,3547.0216479900005
2019-03-17,8.221625399,3485.5776857099995,3527.0862009
2019-03-18,9.646954186,3487.9319535600002,3542.2542776699997
2019-03-19,9.344919956,3500.716875,3551.52797568
2019-03-20,10.175916388,3507.0664308,3557.83186518
2019-03-21,10.831212661,3484.4816892900003,3564.7030808100003
2019-03-22,9.252935969,3498.7419575999998,3526.8988620600003
2019-03-23,9.578850549,3493.889202,3523.39783416
2019-03-24,9.144851064,3485.3877977700004,3515.40874509
2019-03-25,10.359818882,3422.6071875,3513.7915134000004
2019-03-26,10.707678814,3431.93526138,3467.02030557
2019-03-27,10.897131934,3460.69517589,3555.74756094
2019-03-28,9.353915899,3515.03173059,3562.5648269999997
2019-03-29,10.918665556,3509.66453616,3578.7458499900004
2019-03-30,9.73268806,3526.90141116,3738.2217776699995
2019-03-31,9.045122442,3561.8677221,3578.3303910600002
2019-04-01,10.15779417,3564.3041892900005,3623.50921875
2019-04-02,21.315047816,3615.12569865,4268.1804933
2019-04-03,22.899891582,4242.66035178,4617.09297366
2019-04-04,18.251810239,4208.01073215,4404.9489111600005
